model,size,nodes,edges,time,mem
CWMRelationalData,73,1,0,0.005,32
CXF,175,83,91,0.012,511
c_sharp,779,436,803,0.028,2481
DAO,164,17,27,0.007,36
Daos,31,15,18,0.007,30
DaoTypes,52,30,39,0.007,61
data,1546,136,266,0.016,1559
database,134,97,158,0.014,-44864
database_tgg_rule,62,25,24,0.008,90
DataContractDsl,112,63,115,0.008,469
DataMining,463,115,180,0.018,3145
dataset,113,80,96,0.009,648
DataType,6,1,0,0.004,5
datatypes,42,23,36,0.006,90
daum,144,96,140,0.011,920
DawnGenModel.emf,9,7,4,0.006,6
DB,293,44,50,0.008,419
db2emf,17,1,0,0.005,602
dbitem,80,89,88,0.01,80
dbl,570,319,605,0.02,2389
Dbmodel,184,144,172,0.011,714
dbprice,33,5,4,0.006,5
dbschema,261,51,59,0.008,93
dc,53,16,15,0.007,52
Dc6,45,28,38,0.007,549
ddic,246,148,168,0.013,1100
DdlDsl,130,82,129,0.008,518
debug,18,8,7,0.006,3
decobat,126,94,102,0.008,644
DecoraDsl,190,108,170,0.01,883
DefaultName,281,183,230,0.015,1086
DefaultName1,29,18,26,0.005,38
definition,401,63,83,0.008,334
definitions,67,40,53,0.007,596
demo,30,19,23,0.007,3
Demo1,32,16,21,0.006,87
dependencies,79,50,70,0.008,300
DependenciesDsl,31,22,24,0.008,40
dependency,40,24,38,0.007,85
DependencyChain,54,36,49,0.007,378
DependencyDsl,68,44,55,0.008,52
depgraph,103,58,87,0.009,125
Deployment,29,13,18,0.006,297
DeploymentReport,177,141,205,0.013,722
derby,10,4,3,0.007,342
description,408,240,416,0.018,1272
descriptor,56,33,47,0.007,311
design2d,14,6,7,0.006,517
designNotes,18,6,5,0.005,38
DesignPatterns,204,65,69,0.009,469
DetailView,229,132,174,0.013,731
DeviceModelingLanguage,257,160,277,0.013,1073
DFA,42,95,106,0.011,139
dgraph,29,14,27,0.006,90
DGS,107,68,92,0.011,602
di1,282,49,59,0.008,800
diagnostic,44,12,13,0.008,0
diagram,10,3,2,0.005,0
diagramCompare,15,10,15,0.006,384
DiagramInterchange,105,75,133,0.009,634
diagramrt,89,32,55,0.012,85
DialogScript,186,110,167,0.011,937
die,39,22,26,0.008,84
Dime,217,155,245,0.013,666
directives,65,38,62,0.007,90
directory,173,95,119,0.01,626
discovery,48,25,28,0.007,186
DiVA,215,123,219,0.011,1062
DiVA_visitor,1807,127,230,0.014,1620
DMDL,139,96,125,0.009,484
doc,228,84,114,0.015,634
DocBook,2859,387,560,0.027,2713
docbuilder,95,26,40,0.008,85
DocCompiler,94,56,112,0.009,363
doctrine,293,173,268,0.016,635
document,72,38,59,0.01,599
documentation,68,26,41,0.008,253
DoDAF-OV5,135,111,201,0.013,-42307
DoDAF-SV4,159,126,241,0.013,967
DoDAF-SV5,130,104,203,0.014,405
DoDAF,198,153,309,0.015,1133
dom,7,2,1,0.006,5
Domain,46,75,81,0.008,105
Domainmodel,44,24,32,0.007,281
DomDsl,566,360,558,0.021,2402
Dot,27,15,24,0.006,99
DotNET_SystemReflection,223,1,0,0.005,7
downloadSiteSchema,191,28,39,0.006,572
dp,41,23,42,0.008,55
dpd,482,56,72,0.008,449
Droid,388,250,414,0.017,1135
drools,260,32,38,0.008,572
drules,44,30,34,0.006,55
ds,907,126,154,0.012,962
Dsl,300,187,317,0.015,1121
dsl15926,83,46,90,0.01,357
DslECharts,162,97,140,0.01,667
DSLModel,59,39,75,0.011,251
DSLTrans,457,100,166,0.011,668
DSML,140,82,122,0.011,1029
DTD,177,104,167,0.012,351
dtdsl,30,18,20,0.006,59
DTInfo,84,27,32,0.008,515
dtmc,56,27,55,0.007,104
DTMP,29,1,0,0.005,346
dummy,37,20,30,0.006,2
DuplicationDetection,34,18,22,0.007,616
DXF,24,12,16,0.006,0
dynamics,3019,866,1190,0.042,4710
dynamicui,44,8,9,0.006,5
e2,77,42,56,0.006,107
e4modelextension,14,6,6,0.006,300
EAI,22,11,15,0.004,52
eballing,96,124,131,0.01,163
EBC,58,29,28,0.007,572
ebnfmm,50,24,43,0.007,53
ebXML,121,94,162,0.012,860
EcdarText,459,247,447,0.02,1287
eclectic.frontend,816,431,772,0.023,2780
eclipsecon,58,35,47,0.008,55
EclipseLaunchConfigurations,35,19,32,0.006,296
eclipselink_orm,884,514,810,0.027,3115
EclipsePlugIn,50,35,57,0.007,59
ecorebinding,85,41,82,0.011,622
