model,nodes,edges,time,mem
CWM,766,1519,58,5374
CWMCore,37,76,9,456
CWMRelationalData,1,0,7,239
CXF,83,91,10,724
c_sharp,436,803,25,2587
DAO,17,27,9,411
Daos,15,18,10,243
DaoTypes,30,39,9,438
data,136,266,16,1914
database,97,158,11,751
database_tgg_rule,25,24,10,489
DataContractDsl,63,115,12,618
DataMining,115,180,19,3122
dataset,80,96,10,574
DataType,1,0,5,278
datatypes,23,36,10,264
daum,96,140,12,677
DawnGenModel.emf,7,4,7,240
DB,44,50,9,628
db2emf,1,0,9,305
dbitem,89,88,11,533
dbl,319,605,21,2572
Dbmodel,144,172,14,759
dbprice,5,4,8,231
dbschema,51,59,7,532
dc,16,15,7,265
Dc6,28,38,10,316
ddic,148,168,13,1079
DdlDsl,82,129,10,709
debug,8,7,8,283
decobat,94,102,10,745
DecoraDsl,108,170,10,756
DefaultName,183,230,12,953
DefaultName1,18,26,6,245
definition,63,83,8,538
definitions,40,53,7,494
demo,19,23,7,258
Demo1,16,21,7,238
dependencies,50,70,8,474
DependenciesDsl,22,24,10,259
dependency,24,38,8,342
DependencyChain,36,49,8,519
DependencyDsl,44,55,8,509
depgraph,58,87,9,561
Deployment,13,18,7,275
DeploymentReport,141,205,11,975
derby,4,3,7,283
description,240,416,19,1588
descriptor,33,47,7,422
design2d,6,7,6,240
designNotes,6,5,6,243
DesignPatterns,65,69,9,696
DetailView,132,174,12,933
DeviceModelingLanguage,160,277,14,1109
DFA,95,106,10,519
dgraph,14,27,10,259
DGS,68,92,11,557
di1,49,59,13,710
diagnostic,12,13,8,301
diagram,3,2,10,317
diagramCompare,10,15,8,270
DiagramInterchange,75,133,10,735
diagramrt,32,55,11,485
DialogScript,110,167,14,716
die,22,26,9,239
Dime,155,245,15,943
directives,38,62,10,470
directory,95,119,13,729
discovery,25,28,9,436
DiVA,123,219,13,906
DiVA_visitor,127,230,14,1422
DMDL,96,125,11,683
doc,84,114,8,739
DocBook,387,560,23,2487
docbuilder,26,40,9,489
DocCompiler,56,112,11,808
doctrine,173,268,16,1098
document,38,59,13,840
documentation,26,41,8,475
DoDAF-OV5,111,201,13,900
DoDAF-SV4,126,241,13,903
DoDAF-SV5,104,203,10,908
DoDAF,153,309,15,1098
dom,2,1,24,283
Domain,75,81,13,514
Domainmodel,24,32,9,435
DomDsl,360,558,21,2193
Dot,15,24,7,236
DotNET_SystemReflection,1,0,6,464
downloadSiteSchema,28,39,11,472
dp,23,42,8,342
dpd,56,72,12,557
Droid,250,414,16,1467
drools,32,38,10,489
drules,30,34,8,480
ds,126,154,15,909
Dsl,187,317,15,1324
dsl15926,46,90,10,485
DslECharts,97,140,11,696
DSLModel,39,75,9,499
DSLTrans,100,166,12,899
DSML,82,122,10,681
DTD,104,167,11,715
dtdsl,18,20,8,254
DTInfo,27,32,8,321
dtmc,27,55,9,477
DTMP,1,0,8,291
dummy,20,30,10,321
DuplicationDetection,18,22,6,280
DXF,12,16,9,311
dynamics,866,1190,43,4954
dynamicui,8,9,8,236
e2,42,56,9,431
e4modelextension,6,6,10,240
EAI,11,15,10,267
eballing,124,131,11,592
EBC,29,28,9,445
ebnfmm,24,43,10,421
ebXML,94,162,12,695
EcdarText,247,447,17,1770
eclectic.frontend,431,772,24,2616
eclipsecon,35,47,9,468
EclipseLaunchConfigurations,19,32,10,301
eclipselink_orm,514,810,26,3225
EclipsePlugIn,35,57,9,474
ecorebinding,41,82,11,500
edas.owl,592,1192,34,5582
edatatypeColumn,6,5,9,221
editor,433,703,24,2551
editutil,38,37,8,276
EDP,44,68,9,489
education,15,20,7,292
EEFGen,34,44,10,445
efactory,46,65,10,445
efeature,7,6,9,245
EG,20,42,10,415
egis,13,17,9,286
ej-ast,272,521,20,2144
eJava,18,22,9,454
ejb,158,233,13,1340
ekaw.owl,670,1370,43,6872
electrical,17,31,8,284
element,3,2,11,402
elementRegistry,17,20,10,232
Elf,14,17,8,240
elrGrammar,32,51,9,484
em,26,25,6,264
embedded,18,22,8,313
embeddedid,7,7,8,231
emf,53,88,10,448
emf.uuid.library.example,11,16,8,220
emfacade,74,113,68,962
emffrag,21,22,6,294
emffrag_internal,7,6,8,253
emfgenbug,7,6,9,287
emfprofileapplication,15,19,7,323
emftasks,33,36,9,424
emftools,11,11,8,312
EMOF,53,103,9,515
Employee,19,35,8,255
enactment,17,19,7,240
Entities,21,29,8,266
Entity,13,20,9,264
EntityDefinition,56,79,12,512
EntityLang,15,22,8,264
entityNote,3,2,7,220
entityrelation,40,66,10,438
enum,4,4,6,218
EnumLiterals,7,6,8,283
Enumliterals2,9,9,7,267
environment,96,176,12,733
eocl,3,2,7,304
Epatch,51,75,9,452
epc,37,79,10,483
Epk,62,119,10,652
Epla2,25,40,7,417
epn,133,199,17,1040
epo2,44,62,10,454
EQN,26,55,7,429
EqualMM,26,56,10,483
Equipment,419,672,28,2792
ER,13,17,9,235
Erdiagram,45,73,10,452
erlang,291,494,19,1760
errorannex,111,164,13,917
esb,277,365,16,1416
eshop,22,26,8,316
ESMF,405,703,23,2872
Eso,26,30,9,268
EssentialOCL,85,148,10,876
EssentialOCLCST,92,157,11,851
esx,2322,2425,96,7751
ETMap,19,22,11,373
ETPhys,47,60,9,417
etsl,83,90,10,473
etunit,33,39,8,450
eur,32,49,9,421
euz,38,64,8,581
evaluation,18,25,10,369
evaluationresult,10,10,9,214
EveAPIDBModel,634,691,35,4136
event,84,140,10,648
EventOrientedLanguage,96,171,11,710
EventPatternLanguage,88,130,10,769
events,27,39,10,617
evidence,8,8,10,571
evilsystem,43,74,10,426
evm,41,62,11,420
Evolution,31,55,9,397
evolved,23,52,9,393
example-ecore,6,7,10,226
example,23,42,7,436
ExampleEMF,17,28,10,226
ExampleInteractionModel,13,16,8,233
Exceptions,8,8,8,237
experiment,45,41,11,554
exporter,20,24,10,457
exportmodel,18,21,8,292
expr,12,13,8,307
ExprDemo,123,221,12,912
EXPRESS,566,1164,32,3829
EXPRESSb,531,1066,33,3341
expression,10,10,8,232
expressions,64,99,14,744
ExSchema,17,24,7,203
ext,3,2,7,245
extended,3,3,8,532
extendedmodel,3,2,6,265
ExtendedPO,49,68,8,439
ExtendedPO2,44,62,7,452
ExtendedTypes,22,27,7,257
Extended_UML_Core_Package,36,58,7,408
extension-manifest,81,110,9,679
extension,5,4,6,273
extensionmodel,7,7,7,307
Extensions,7,8,6,300
extensionsmaple,5,3,7,231
externaldatasource,6,4,6,248
extjs,26,34,8,450
extlibrary,51,86,9,420
extractor,14,14,8,355
fabric3,48,60,10,411
faceletTaglib,25,33,8,421
faceletTaglib_2_0,114,169,13,1074
FacesConfig,601,907,36,3842
facet_definition,24,34,10,411
