model,nodes,edges,time,mem
Eso,26,30,9,264
EssentialOCL,85,148,13,876
EssentialOCLCST,92,157,12,725
esx,2322,2425,69,7688
ETMap,19,22,9,365
ETPhys,47,60,10,438
etsl,83,90,11,483
etunit,33,39,10,420
eur,32,49,7,443
euz,38,64,10,600
evaluation,18,25,9,231
evaluationresult,10,10,10,230
EveAPIDBModel,634,691,40,4075
event,84,140,13,662
EventOrientedLanguage,96,171,10,672
EventPatternLanguage,88,130,12,672
events,27,39,9,410
evidence,8,8,8,571
evilsystem,43,74,13,443
evm,41,62,10,430
Evolution,31,55,11,410
evolved,23,52,10,237
example-ecore,6,7,8,228
example,23,42,10,240
ExampleEMF,17,28,8,231
ExampleInteractionModel,13,16,8,230
Exceptions,8,8,7,231
experiment,45,41,10,601
exporter,20,24,8,230
exportmodel,18,21,8,240
expr,12,13,7,227
ExprDemo,123,221,12,872
EXPRESS,566,1164,34,3888
EXPRESSb,531,1066,29,3333
expression,10,10,7,230
expressions,64,99,10,652
ExSchema,17,24,7,230
ext,3,2,8,227
extended,3,3,9,559
extendedmodel,3,2,7,230
ExtendedPO,49,68,9,440
ExtendedPO2,44,62,7,443
ExtendedTypes,22,27,8,240
Extended_UML_Core_Package,36,58,7,443
extension-manifest,81,110,12,672
extension,5,4,10,230
extensionmodel,7,7,10,228
Extensions,7,8,9,231
extensionsmaple,5,3,8,230
externaldatasource,6,4,8,230
extjs,26,34,6,421
extlibrary,51,86,8,453
extractor,14,14,7,411
fabric3,48,60,11,441
faceletTaglib,25,33,7,247
faceletTaglib_2_0,114,169,13,1045
FacesConfig,601,907,38,3925
facet_definition,24,34,9,401
fact,75,103,13,833
Families,10,11,8,231
family,18,25,8,240
FCM,128,151,12,869
featherweightjava,37,71,8,428
Feature,12,15,7,572
featureDiagram,40,77,9,430
FeatureDiagrams,31,56,7,443
featuremodel,38,56,7,430
Features,11,15,9,230
feature_old,73,124,11,662
Februar,11,15,9,228
FederationOffice,244,376,19,1387
felix,119,148,12,868
Fiber,37,52,10,430
fieldmapping,12,13,8,231
FieldSelection,12,15,6,230
FileHistory,12,13,7,230
filetransfer,22,22,8,240
filter,54,67,10,613
filtermodel,3,2,7,227
FilterSetup,37,83,9,453
Fin,63,82,11,449
FiniteStateMachine,23,50,8,411
Firewalll,16,20,8,240
fiw,5,4,7,230
FJ,52,86,10,440
fl,33,48,9,440
flat11,86,113,11,680
FlatQVT,416,837,37,10456
FlatSignalFlow,55,106,10,477
Flow,81,134,13,687
flowchart,56,99,10,476
flowcontrol,38,66,9,445
FlowDesigner,25,35,9,242
FlowDsl,45,57,8,445
FlowerDiagramNotation,58,116,10,474
FlowGraph,38,86,10,453
flow_concept,22,38,9,242
flow_edge,13,23,8,234
flow_noedge,9,14,9,226
FML,63,87,9,477
fmusim,28,41,7,250
fnmeta,36,47,11,434
Forge,98,111,14,684
form,34,39,9,258
format,9514,12936,505,43491
formatter,9,9,7,316
Forms,169,235,15,1267
formsembedded,4,3,8,206
formsextension,4,3,6,184
formsfamily,30,48,8,360
FormularMM,24,34,7,290
FoundationModel,168,221,14,941
Fouroperation,13,18,8,177
fr.medieval.model,22,34,7,316
Fractal,96,149,10,647
FractalIdt,9,9,7,162
FractalItf,171,261,13,1052
frascati,50,55,9,452
freemarker,3,2,9,159
Freemind,80,103,16,609
frontend.attribution,30,50,8,308
frontend.chain,21,36,8,316
frontend.core,153,261,12,1050
frontend.imperative,21,29,9,293
frontend.koan,22,33,8,293
frontend.mappings,112,190,14,845
frontend.pat,28,44,8,305
frontend.qool,76,124,12,633
frontend.script,14,15,7,177
frontend.tao,38,65,10,316
fsa,14,24,8,293
fsm-noOpposite,20,29,8,316
fsm,20,35,9,293
fsml,6,7,8,159
fsm_with_ids,22,37,7,291
fUML,358,679,20,2219
Function,53,87,10,462
functions,23,38,9,316
furniture,30,41,8,308
futsal,75,115,10,494
FwitRequirementsModel,87,86,11,608
FXBean,38,47,10,316
fxg,516,666,25,2583
FXGraph,97,150,9,624
GACL,59,97,10,477
GAIA,55,90,9,470
gamelogic,90,142,11,609
games,11,14,7,162
