model,nodes,edges,time,mem
drules,30,34,9,257
ds,126,154,15,968
Dsl,187,317,16,1337
dsl15926,46,90,10,488
DslECharts,97,140,10,727
DSLModel,39,75,9,479
DSLTrans,100,166,12,736
DSML,82,122,11,718
DTD,104,167,10,737
dtdsl,18,20,6,247
DTInfo,27,32,7,257
dtmc,27,55,6,274
DTMP,1,0,5,235
dummy,20,30,7,248
DuplicationDetection,18,22,7,254
DXF,12,16,5,238
dynamics,866,1190,37,4791
dynamicui,8,9,6,238
e2,42,56,8,478
e4modelextension,6,6,6,238
EAI,11,15,6,239
eballing,124,131,11,575
EBC,29,28,9,257
ebnfmm,24,43,9,267
ebXML,94,162,10,737
EcdarText,247,447,18,1718
eclectic.frontend,431,772,28,2637
eclipsecon,35,47,9,274
EclipseLaunchConfigurations,19,32,7,255
eclipselink_orm,514,810,27,3057
EclipsePlugIn,35,57,10,475
ecorebinding,41,82,10,479
edas.owl,592,1192,34,5428
edatatypeColumn,6,5,7,229
editor,433,703,25,2606
editutil,38,37,8,277
EDP,44,68,8,458
education,15,20,6,239
EEFGen,34,44,8,458
efactory,46,65,8,460
efeature,7,6,7,229
EG,20,42,6,257
egis,13,17,7,247
ej-ast,272,521,18,2156
eJava,18,22,7,427
ejb,158,233,15,1334
ekaw.owl,670,1370,36,6872
electrical,17,31,7,239
element,3,2,7,400
elementRegistry,17,20,8,239
Elf,14,17,6,246
elrGrammar,32,51,8,449
em,26,25,7,246
embedded,18,22,7,238
embeddedid,7,7,6,228
emf,53,88,8,469
emf.uuid.library.example,11,16,6,246
emfacade,74,113,171,1044
emffrag,21,22,9,245
emffrag_internal,7,6,7,225
emfgenbug,7,6,6,225
emfprofileapplication,15,19,7,239
emftasks,33,36,8,261
emftools,11,11,8,228
EMOF,53,103,10,466
Employee,19,35,9,256
enactment,17,19,7,246
Entities,21,29,6,239
Entity,13,20,6,246
EntityDefinition,56,79,8,469
EntityLang,15,22,7,246
entityNote,3,2,6,218
entityrelation,40,66,9,456
enum,4,4,6,229
EnumLiterals,7,6,8,228
Enumliterals2,9,9,8,225
environment,96,176,11,719
eocl,3,2,8,218
Epatch,51,75,9,471
epc,37,79,9,448
Epk,62,119,9,484
Epla2,25,40,7,256
epn,133,199,12,939
epo2,44,62,8,459
EQN,26,55,7,438
EqualMM,26,56,7,449
Equipment,419,672,24,2908
ER,13,17,8,228
Erdiagram,45,73,7,456
erlang,291,494,18,1802
errorannex,111,164,11,722
esb,277,365,19,1334
eshop,22,26,8,243
ESMF,405,703,25,2704
Eso,26,30,6,243
EssentialOCL,85,148,11,872
EssentialOCLCST,92,157,11,694
esx,2322,2425,69,7683
ETMap,19,22,7,356
ETPhys,47,60,10,426
etsl,83,90,10,466
etunit,33,39,8,426
eur,32,49,7,437
euz,38,64,8,594
evaluation,18,25,7,222
evaluationresult,10,10,7,223
EveAPIDBModel,634,691,29,4034
event,84,140,10,655
EventOrientedLanguage,96,171,10,678
EventPatternLanguage,88,130,10,659
events,27,39,8,435
evidence,8,8,7,559
evilsystem,43,74,10,437
evm,41,62,7,426
Evolution,31,55,7,437
evolved,23,52,7,409
example-ecore,6,7,6,222
example,23,42,7,240
ExampleEMF,17,28,6,222
ExampleInteractionModel,13,16,7,240
Exceptions,8,8,6,222
experiment,45,41,7,602
exporter,20,24,6,222
exportmodel,18,21,7,238
expr,12,13,7,220
ExprDemo,123,221,12,891
EXPRESS,566,1164,32,3878
EXPRESSb,531,1066,30,3304
expression,10,10,8,222
expressions,64,99,8,641
ExSchema,17,24,7,222
ext,3,2,6,222
extended,3,3,7,560
extendedmodel,3,2,6,223
ExtendedPO,49,68,8,438
ExtendedPO2,44,62,7,426
ExtendedTypes,22,27,7,223
Extended_UML_Core_Package,36,58,8,426
extension-manifest,81,110,9,652
extension,5,4,6,220
extensionmodel,7,7,8,220
Extensions,7,8,5,223
extensionsmaple,5,3,5,220
externaldatasource,6,4,8,222
extjs,26,34,6,437
extlibrary,51,86,8,455
extractor,14,14,8,391
fabric3,48,60,9,426
faceletTaglib,25,33,7,240
faceletTaglib_2_0,114,169,12,1024
FacesConfig,601,907,33,3886
facet_definition,24,34,9,409
fact,75,103,12,971
Families,10,11,7,222
family,18,25,6,223
FCM,128,151,12,859
featherweightjava,37,71,8,434
Feature,12,15,10,577
featureDiagram,40,77,8,435
FeatureDiagrams,31,56,9,426
featuremodel,38,56,9,437
Features,11,15,6,222
feature_old,73,124,11,652
Februar,11,15,7,223
FederationOffice,244,376,14,1528
felix,119,148,13,862
Fiber,37,52,9,437
fieldmapping,12,13,6,240
FieldSelection,12,15,6,223
FileHistory,12,13,5,240
filetransfer,22,22,7,223
filter,54,67,8,609
filtermodel,3,2,5,220
FilterSetup,37,83,7,455
Fin,63,82,9,463
FiniteStateMachine,23,50,7,409
Firewalll,16,20,6,222
fiw,5,4,7,223
FJ,52,86,8,437
fl,33,48,8,426
flat11,86,113,9,652
FlatQVT,416,837,35,10443
FlatSignalFlow,55,106,9,468
Flow,81,134,9,688
flowchart,56,99,11,467
flowcontrol,38,66,9,461
FlowDesigner,25,35,10,255
FlowDsl,45,57,9,459
FlowerDiagramNotation,58,116,9,465
FlowGraph,38,86,9,447
flow_concept,22,38,9,253
flow_edge,13,23,7,235
flow_noedge,9,14,6,220
FML,63,87,8,475
fmusim,28,41,7,255
fnmeta,36,47,7,448
Forge,98,111,11,686
form,34,39,9,248
format,9514,12936,495,45923
formatter,9,9,8,404
Forms,169,235,13,1129
formsembedded,4,3,7,237
formsextension,4,3,6,237
formsfamily,30,48,7,428
FormularMM,24,34,6,262
FoundationModel,168,221,13,976
Fouroperation,13,18,7,248
fr.medieval.model,22,34,6,251
Fractal,96,149,11,663
FractalIdt,9,9,6,207
FractalItf,171,261,13,989
frascati,50,55,8,395
freemarker,3,2,6,195
Freemind,80,103,11,583
frontend.attribution,30,50,7,365
frontend.chain,21,36,9,353
frontend.core,153,261,15,1085
frontend.imperative,21,29,10,207
frontend.koan,22,33,8,218
frontend.mappings,112,190,12,779
frontend.pat,28,44,7,362
frontend.qool,76,124,9,583
frontend.script,14,15,7,204
frontend.tao,38,65,7,394
fsa,14,24,7,229
fsm-noOpposite,20,29,7,229
fsm,20,35,7,241
fsml,6,7,7,226
fsm_with_ids,22,37,7,365
fUML,358,679,23,2218
Function,53,87,9,417
functions,23,38,7,353
furniture,30,41,8,376
futsal,75,115,10,646
FwitRequirementsModel,87,86,11,599
FXBean,38,47,8,381
fxg,516,666,26,2541
FXGraph,97,150,11,770
GACL,59,97,8,427
