operation,metamodel,metric,best_model,consistency,linear_r2,exponential_r2,poly2_r2,poly3_r2,poly4_r2,poly5_r2,worst_file,worst_model
Read,business,time,poly3,0.6,0.9846649630257416,0.9249991232143983,0.9922498261946155,0.9989652123057712,1.0,1.0,Read_run_1.csv,exponential
Read,business,mem,poly3,1.0,0.9473467106353977,0.44295641218453136,0.992245992234957,0.9998969052996576,1.0,1.0,Read_run_6.csv,exponential
Read,CoreDsl,time,linear,1.0,0.9975312362009325,0.7676279257885172,0.9991422623820719,0.9994778038864375,1.0,1.0,Read_run_13.csv,exponential
Read,CoreDsl,mem,poly2,0.7666666666666667,0.8858388129257568,0.3016166688466115,0.9956428044935696,0.9999705307127329,1.0,1.0,Read_run_2.csv,exponential
Read,CssExtDsl,time,linear,0.5333333333333333,0.9938456759300353,0.8397423169822568,0.9950806910868353,0.9958902605877168,1.0,1.0,Read_run_16.csv,exponential
Read,CssExtDsl,mem,poly3,0.8666666666666667,0.9929686981540712,0.639984827022195,0.9939923773070473,0.9999117714299603,1.0,1.0,Read_run_28.csv,exponential
Read,DialogScript,time,linear,0.7,0.9959275859539904,0.8936788641275422,0.9980572328598906,0.9996109803716546,1.0,1.0,Read_run_1.csv,exponential
Read,DialogScript,mem,poly3,1.0,0.9915312658393011,0.6539647251651353,0.9929625067858577,0.9999163954903935,1.0,1.0,Read_run_28.csv,exponential
Read,environment,time,linear,0.7333333333333333,0.9951569545529098,0.7923832392060602,0.9984103978262769,0.9990396999476274,1.0,1.0,Read_run_22.csv,exponential
Read,environment,mem,poly2,0.6333333333333333,0.9855149147839725,0.5429811043171153,0.9952603080641995,0.9999471789300104,1.0,1.0,Read_run_27.csv,exponential
Read,erlang,time,linear,0.5,0.9941260814863824,0.8322878881818362,0.9960838676596472,0.9991784361572944,1.0,1.0,Read_run_27.csv,exponential
Read,erlang,mem,poly3,1.0,0.9909572930096016,0.6489847700698917,0.9922107813394407,0.9999191344761819,1.0,1.0,Read_run_14.csv,exponential
Read,esb,time,poly2,0.43333333333333335,0.9675955109651643,0.6536027098817091,0.9940837895546818,0.9983812628816547,1.0,1.0,Read_run_11.csv,exponential
Read,esb,mem,poly2,0.9,0.9850680235873418,0.4619230808550557,0.9994135592628957,0.9999730133358251,1.0,1.0,Read_run_3.csv,exponential
Read,EventOrientedLanguage,time,poly3,0.4,0.9811445577745803,0.4085596230309492,0.995808351636423,0.9998402802483919,1.0,1.0,Read_run_19.csv,exponential
Read,EventOrientedLanguage,mem,poly3,1.0,0.9741580773561217,0.5349888979070918,0.9938595128718265,0.999947488250806,1.0,1.0,Read_run_3.csv,exponential
Read,FlatQVT,time,poly3,0.43333333333333335,0.962337170761755,0.358442943632373,0.9943397673429636,0.9999337931306744,1.0,1.0,Read_run_13.csv,exponential
Read,FlatQVT,mem,poly2,0.8666666666666667,0.9587722127828575,0.4597856454810146,0.9964498340714288,0.9999619795530277,1.0,1.0,Read_run_2.csv,exponential
Read,FractalItf,time,poly3,0.7666666666666667,0.9222320547272995,0.24172292510976642,0.9876293921759957,0.9989786293360041,1.0,1.0,Read_run_27.csv,exponential
Read,FractalItf,mem,poly2,0.6,0.9781367105595553,0.5074297495194485,0.9954762092195304,0.9998604876489702,1.0,1.0,Read_run_6.csv,exponential
Read,Glsl,time,poly2,0.8,0.9847770664811288,0.8054481839960376,0.9991391643752997,0.9997001528493994,1.0,1.0,Read_run_7.csv,exponential
Read,Glsl,mem,poly3,1.0,0.9934596441431691,0.6317471037886324,0.9942384710532519,0.999975377279426,1.0,1.0,Read_run_1.csv,exponential
Read,hockeyleague,time,poly3,0.4,0.9584249196689695,0.4390578185290617,0.9951154461348841,0.9996077915613151,1.0,1.0,Read_run_26.csv,exponential
Read,hockeyleague,mem,linear,0.7,0.9952768661109341,0.6470278470046309,0.9962070431865094,0.9999199631832332,1.0,1.0,Read_run_29.csv,exponential
Read,Iptables,time,linear,1.0,0.9978692735278101,0.8354152261735289,0.9984422693909824,0.9993762091298823,1.0,1.0,Read_run_25.csv,exponential
Read,Iptables,mem,linear,0.4,0.9943040394803492,0.6225975087129615,0.99559741234453,0.9999064252680258,1.0,1.0,Read_run_19.csv,exponential
Read,java5,time,linear,0.8666666666666667,0.9973347474860493,0.48152748267012224,0.9999421137627048,0.9999870160379072,1.0,1.0,Read_run_11.csv,exponential
Read,java5,mem,poly3,0.8666666666666667,0.9435879067005875,0.4501885306048596,0.9937407423780453,0.9999165219795805,1.0,1.0,Read_run_20.csv,exponential
Read,JavaVMTypes,time,linear,0.9666666666666667,0.9979403228529783,0.6729025222053229,0.9994564848381393,0.9998185789922116,1.0,1.0,Read_run_1.csv,exponential
Read,JavaVMTypes,mem,poly3,1.0,0.9733500267306454,0.5429733758133,0.993913376530951,0.9999125284377932,1.0,1.0,Read_run_9.csv,exponential
Read,LLVM_IR,time,poly2,0.6,0.9832019651755852,0.7811123188079396,0.9981823729097529,0.9990682716708874,1.0,1.0,Read_run_29.csv,exponential
Read,LLVM_IR,mem,poly2,0.6666666666666666,0.875952560328716,0.27655219094536104,0.9958655445195534,0.9999768380805563,1.0,1.0,Read_run_2.csv,exponential
